Dataset	Domains	Any	Disconnect	Content	Advertising	Analytics	Social
se.healthstatus.2013.counties-https-www	5	1	1	0.6	0	0	0
se.healthstatus.2013.domain-registrars-https-www	36	0.9166666666666666	0.8333333333333334	0.6111111111111112	0.19444444444444445	0.05555555555555555	0
se.healthstatus.2013.financial-services-https-www	31	1	0.8064516129032258	0.6774193548387096	0.3870967741935484	0.3225806451612903	0.06451612903225806
se.healthstatus.2013.gocs-https-www	9	1	1	0.6666666666666666	0.6666666666666666	0.2222222222222222	0.1111111111111111
se.healthstatus.2013.higher-education-https-www	24	1	1	0.7083333333333334	0	0.25	0.2916666666666667
se.healthstatus.2013.isps-https-www	10	1	0.7	0.8	0.7	0.3	0.2
se.healthstatus.2013.media-https-www	5	1	1	0.8	1	0.6	0
se.healthstatus.2013.municipalities-https-www	50	0.96	0.92	0.6	0	0.16	0.14
se.healthstatus.2013.public-authorities-https-www	36	0.9722222222222222	0.8333333333333334	0.4444444444444444	0.05555555555555555	0.25	0.16666666666666666
reach50.2014w35.se-https-www	26	0.8846153846153846	0.6153846153846154	0.5384615384615384	0.4230769230769231	0.4230769230769231	0.038461538461538464
alexa.2014-09-01.top.se.10000-https-www	630	0.9841269841269842	0.9396825396825397	0.7619047619047619	0.32063492063492066	0.25396825396825395	0.08571428571428572
se.2014-07-10.random.100000-https-www	285	0.9508771929824561	0.8526315789473684	0.6491228070175439	0.16140350877192983	0.15087719298245614	0.05964912280701754
