Dataset	Domains w/ ext	Google	Facebook	Twitter	Microsoft	Amazon	Adobe	Yahoo!	AddThis	AppNexus	comScore	Quantcast
se.healthstatus.2013.counties-http-www	21	0.8571428571428571	0.09523809523809523	0.047619047619047616	0	0	0	0	0.047619047619047616	0	0.09523809523809523	0
se.healthstatus.2013.domain-registrars-http-www	113	0.9026548672566371	0.18584070796460178	0.08849557522123894	0.008849557522123894	0.05309734513274336	0.05309734513274336	0	0.008849557522123894	0.061946902654867256	0.008849557522123894	0
se.healthstatus.2013.financial-services-http-www	71	0.704225352112676	0.07042253521126761	0.028169014084507043	0	0.04225352112676056	0.1267605633802817	0.014084507042253521	0.028169014084507043	0.07042253521126761	0.04225352112676056	0
se.healthstatus.2013.gocs-http-www	55	0.9636363636363636	0.09090909090909091	0.07272727272727272	0	0.12727272727272726	0	0	0.09090909090909091	0.05454545454545454	0.10909090909090909	0
se.healthstatus.2013.higher-education-http-www	44	0.9772727272727273	0.20454545454545456	0.11363636363636363	0	0.022727272727272728	0	0.022727272727272728	0.11363636363636363	0	0.1590909090909091	0
se.healthstatus.2013.isps-http-www	19	0.8947368421052632	0.21052631578947367	0	0.05263157894736842	0.2631578947368421	0.10526315789473684	0	0.10526315789473684	0.2631578947368421	0.10526315789473684	0
se.healthstatus.2013.media-http-www	27	0.9259259259259259	0.6296296296296297	0.25925925925925924	0.037037037037037035	0.48148148148148145	0.07407407407407407	0	0.14814814814814814	0.2222222222222222	0.37037037037037035	0
se.healthstatus.2013.municipalities-http-www	258	0.9341085271317829	0.09689922480620156	0.01937984496124031	0.003875968992248062	0.18992248062015504	0.011627906976744186	0.007751937984496124	0.13565891472868216	0	0.13953488372093023	0
se.healthstatus.2013.public-authorities-http-www	188	0.925531914893617	0.06382978723404255	0.06382978723404255	0	0.02127659574468085	0.026595744680851064	0.010638297872340425	0.047872340425531915	0.005319148936170213	0.07446808510638298	0
reach50.2014w35.se-http-www	42	0.7619047619047619	0.23809523809523808	0.11904761904761904	0.047619047619047616	0.11904761904761904	0.11904761904761904	0.023809523809523808	0.023809523809523808	0.14285714285714285	0.23809523809523808	0.047619047619047616
alexa.2014-09-01.top.se.10000-http-www	2779	0.931630082763584	0.33465275278877293	0.12882331774019432	0.016192875134940627	0.10939186757826556	0.04390068369917236	0.016552716804605974	0.0798848506657071	0.11442965095358043	0.10795250089960418	0.00791651673263764
se.2014-07-10.random.100000-http-www	57547	0.705145359445323	0.12454167897544616	0.03935913253514518	0.0030757467808921403	0.046448989521608426	0.010773802283351	0.006134116461327263	0.025196795662675724	0.011382000799346622	0.03671781326567849	0.006377395867725511
