Dataset	Domains	Disconnect	Content	Advertising	Analytics	Social
alexa.2014-09-01.random.10000-http-www	8493	0.7457906511244554	0.6670198987401389	0.2726951607205934	0.2489108677734605	0.14470740609914046
alexa.2014-09-01.random.10000-https	1135	0.8511013215859031	0.762114537444934	0.27312775330396477	0.27312775330396477	0.12863436123348018
alexa.2014-09-01.top.10000-http-www	8682	0.810873070721032	0.6956922368117945	0.5153190509099286	0.4323888504952776	0.1240497581202488
alexa.2014-09-01.top.10000-https	2507	0.8101316314319904	0.7538891104906262	0.4974072596729158	0.399680893498205	0.09692859992022337
alexa.2014-09-01.top.dk.10000-http-www	2310	0.845021645021645	0.7307359307359307	0.2766233766233766	0.2	0.08701298701298701
alexa.2014-09-01.top.dk.10000-https	339	0.8053097345132744	0.6932153392330384	0.3952802359882006	0.2359882005899705	0.07374631268436578
alexa.2014-09-01.top.se.10000-http-www	2895	0.8663212435233161	0.7236614853195165	0.2846286701208981	0.23937823834196892	0.10328151986183075
alexa.2014-09-01.top.se.10000-https	438	0.9155251141552512	0.776255707762557	0.3082191780821918	0.23972602739726026	0.0867579908675799
com.2014-08-29.random.10000-http-www	7811	0.5488413775444886	0.558187171937012	0.07899116630393035	0.24670336704647292	0.03610293176289848
com.2014-08-29.random.10000-https	50	0.58	0.64	0.14	0.14	0.06
dk.2014-07-23.random.10000-http-www	7378	0.33206831119544594	0.3819463269178639	0.04269449715370019	0.062076443480618054	0.036324207102195714
dk.2014-07-23.random.10000-https	23	0.6086956521739131	0.5217391304347826	0.13043478260869565	0.13043478260869565	0.043478260869565216
net.2014-08-29.random.10000-http-www	7378	0.5477094063431824	0.5546218487394958	0.07495256166982922	0.25603144483599893	0.031309297912713474
net.2014-08-29.random.10000-https	26	0.46153846153846156	0.5	0	0.038461538461538464	0.038461538461538464
reach50.2014w35.se-http-www	42	0.7142857142857143	0.6190476190476191	0.5714285714285714	0.5	0.047619047619047616
se.2014-07-10.random.100000-http	73605	0.3973235513891719	0.43641056993410776	0.04567624482032471	0.0691800828748047	0.029862101759391347
se.2014-07-10.random.100000-http-www	77261	0.39587890397483855	0.4286250501546705	0.045404537865158356	0.06818446564243279	0.029678621814369473
se.healthstatus.2013.counties-http-www	21	0.8571428571428571	0.5714285714285714	0	0.09523809523809523	0.09523809523809523
se.healthstatus.2013.domain-registrars-http-www	134	0.7089552238805971	0.5522388059701493	0.09701492537313433	0.05223880597014925	0.007462686567164179
se.healthstatus.2013.financial-services-http-www	72	0.6527777777777778	0.4305555555555556	0.25	0.18055555555555555	0.027777777777777776
se.healthstatus.2013.gocs-http-www	57	0.9473684210526315	0.5964912280701754	0.22807017543859648	0.12280701754385964	0.10526315789473684
se.healthstatus.2013.higher-education-http-www	47	0.9148936170212766	0.5531914893617021	0	0.14893617021276595	0.1702127659574468
se.healthstatus.2013.isps-http-www	19	0.8421052631578947	0.7894736842105263	0.5263157894736842	0.2631578947368421	0.10526315789473684
se.healthstatus.2013.media-http-www	28	0.8928571428571429	0.8214285714285714	0.8928571428571429	0.5357142857142857	0.14285714285714285
se.healthstatus.2013.municipalities-http-www	271	0.8044280442804428	0.6678966789667896	0.01107011070110701	0.1992619926199262	0.13284132841328414
se.healthstatus.2013.public-authorities-http-www	203	0.7881773399014779	0.458128078817734	0.034482758620689655	0.11822660098522167	0.07389162561576355
