Dataset	Domains	www.google.com	doubleclick.net	google-analytics.com	googleapis.com	maps.google.com	youtube.com	facebook.com	twitter.com	scorecardresearch.com	comScore	addthis.com	newrelic.com
alexa.2014-09-01.random.10000-http-www	8493	0.286471211586012	0.29589073354527257	0.6291063228541152	0.44577887672200633	0.016248675379724478	0.07099964676792653	0.23949134581419992	0.15577534440127164	0.11162133521723773	0	0.06876251030260214	0.02884728600023549
alexa.2014-09-01.random.10000-https	1135	0.32863436123348017	0.360352422907489	0.6960352422907489	0.47400881057268723	0.013215859030837005	0.09515418502202644	0.23524229074889869	0.2026431718061674	0.10484581497797357	0	0.07136563876651983	0.055506607929515416
alexa.2014-09-01.top.10000-http-www	8682	0.36109191430545956	0.4970052983183598	0.6510020732550104	0.37145818935729097	0	0.05125547108961069	0.3441603317208017	0.2183828610919143	0.21734623358673116	0	0.07958995623128312	0.07313982953236581
alexa.2014-09-01.top.10000-https	2507	0.3458316713203031	0.5001994415636218	0.649780614280016	0.3805345033905066	0	0.05743917032309533	0.3087355404866374	0.20702034303948944	0.16394096529716792	0	0.05345033905065816	0.11487834064619067
alexa.2014-09-01.top.dk.10000-http-www	2310	0.2878787878787879	0.3722943722943723	0.696969696969697	0.5255411255411255	0.01904761904761905	0.051515151515151514	0.270995670995671	0.07662337662337662	0.07878787878787878	0	0.06406926406926407	0.0367965367965368
alexa.2014-09-01.top.dk.10000-https	339	0.3008849557522124	0.3746312684365782	0.6666666666666666	0.4837758112094395	0.017699115044247787	0.04129793510324484	0.21238938053097345	0.07669616519174041	0.08259587020648967	0	0.061946902654867256	0.061946902654867256
alexa.2014-09-01.top.se.10000-http-www	2895	0.2825561312607945	0.32746113989637304	0.7561312607944732	0.5043177892918825	0.02383419689119171	0.06666666666666667	0.2970639032815199	0.11606217616580311	0.10259067357512953	0	0.0766839378238342	0.06390328151986183
alexa.2014-09-01.top.se.10000-https	438	0.2968036529680365	0.3561643835616438	0.7922374429223744	0.5068493150684932	0.0319634703196347	0.0547945205479452	0.2534246575342466	0.13013698630136986	0.08447488584474885	0	0.07077625570776255	0.0821917808219178
com.2014-08-29.random.10000-http-www	7811	0.3455383433619255	0.33568045064652413	0.27346050441684805	0.25272052234028936	0.013314556394827808	0.02406862117526565	0.058123159646652156	0.038279349635129946	0.032134169760594036	0	0.022404301625912174	0.018691588785046728
com.2014-08-29.random.10000-https	50	0.2	0.12	0.48	0.44	0.02	0.08	0.18	0.06	0.06	0	0.04	0.04
dk.2014-07-23.random.10000-http-www	7378	0.12428842504743833	0.073597180807807	0.27595554350772566	0.29899701816210356	0.01192735158579561	0.021957169964760097	0.0765790187042559	0.01924640824071564	0.02819192193006235	0	0.023448088912984548	0.01002981837896449
dk.2014-07-23.random.10000-https	23	0.21739130434782608	0.17391304347826086	0.4782608695652174	0.30434782608695654	0	0.13043478260869565	0.08695652173913043	0	0.043478260869565216	0	0.043478260869565216	0.043478260869565216
net.2014-08-29.random.10000-http-www	7378	0.377744646245595	0.3636486852805638	0.24315532664678774	0.2037137435619409	0.006776904310111141	0.02005963675792898	0.053808620222282465	0.035239902412577934	0.025074545947411223	0	0.01965302249932231	0.012333965844402278
net.2014-08-29.random.10000-https	26	0.07692307692307693	0.07692307692307693	0.4230769230769231	0.46153846153846156	0.038461538461538464	0	0.19230769230769232	0.07692307692307693	0.038461538461538464	0	0	0
reach50.2014w35.se-http-www	42	0.14285714285714285	0.2619047619047619	0.5476190476190477	0.2619047619047619	0	0.023809523809523808	0.21428571428571427	0.09523809523809523	0.21428571428571427	0	0.023809523809523808	0.023809523809523808
se.2014-07-10.random.100000-http	73605	0.13746348753481422	0.08227701922423748	0.31961143944025544	0.3375042456354867	0.013382243054140344	0.023612526322940017	0.08703213096936349	0.02874804700767611	0.027756266557978398	0	0.018762312342911487	0.01058352014129475
se.2014-07-10.random.100000-http-www	77261	0.1344145170267017	0.08132175353671321	0.3196308616248819	0.3315126648632557	0.012878425078629581	0.023012904311360195	0.0849587760966076	0.027737150696988132	0.02728414076959915	0	0.01870283843077361	0.010406285189164003
se.healthstatus.2013.counties-http-www	21	0.19047619047619047	0	0.8095238095238095	0.5238095238095238	0	0	0.09523809523809523	0.047619047619047616	0.09523809523809523	0	0.047619047619047616	0
se.healthstatus.2013.domain-registrars-http-www	134	0.1865671641791045	0.1865671641791045	0.664179104477612	0.43283582089552236	0.029850746268656716	0.04477611940298507	0.13432835820895522	0.07462686567164178	0.007462686567164179	0	0.007462686567164179	0.007462686567164179
se.healthstatus.2013.financial-services-http-www	72	0.1388888888888889	0.16666666666666666	0.5833333333333334	0.2222222222222222	0.013888888888888888	0.027777777777777776	0.06944444444444445	0.027777777777777776	0.041666666666666664	0	0.027777777777777776	0.041666666666666664
se.healthstatus.2013.gocs-http-www	57	0.17543859649122806	0.14035087719298245	0.9122807017543859	0.40350877192982454	0.10526315789473684	0.05263157894736842	0.07017543859649122	0.07017543859649122	0.10526315789473684	0	0.08771929824561403	0.03508771929824561
se.healthstatus.2013.higher-education-http-www	47	0.1276595744680851	0.0851063829787234	0.8723404255319149	0.2978723404255319	0.0425531914893617	0.06382978723404255	0.14893617021276595	0.10638297872340426	0.14893617021276595	0	0.10638297872340426	0
se.healthstatus.2013.isps-http-www	19	0.2631578947368421	0.3684210526315789	0.7894736842105263	0.47368421052631576	0.05263157894736842	0	0.21052631578947367	0	0.10526315789473684	0	0.10526315789473684	0.05263157894736842
se.healthstatus.2013.media-http-www	28	0.10714285714285714	0.39285714285714285	0.7142857142857143	0.6071428571428571	0	0	0.6071428571428571	0.25	0.32142857142857145	0	0.14285714285714285	0.17857142857142858
se.healthstatus.2013.municipalities-http-www	271	0.3726937269372694	0.014760147601476014	0.7749077490774908	0.5276752767527675	0.033210332103321034	0.01845018450184502	0.08487084870848709	0.01845018450184502	0.13284132841328414	0	0.12915129151291513	0.03690036900369004
se.healthstatus.2013.public-authorities-http-www	203	0.08866995073891626	0.019704433497536946	0.7832512315270936	0.3891625615763547	0.019704433497536946	0.024630541871921183	0.059113300492610835	0.03940886699507389	0.06896551724137931	0	0.04433497536945813	0.029556650246305417
