Dataset	Domains	1xx	2xx	3xx	301	302	303	307	4xx	5xx	(null)
alexa.2014-09-01.random.10000-http-www	9779	0	0.6055833929849678	0.2629103180284283	0.19040801717967074	0.06902546272625013	0.0030677983433888946	0.00040903977911851925	0	0	0.13150628898660394
alexa.2014-09-01.random.10000-https	9952	0	0.0420016077170418	0.07204581993569131	0.04391077170418006	0.028135048231511254	0	0	0	0	0.8859525723472669
alexa.2014-09-01.top.10000-http-www	9759	0	0.6127677016087714	0.27687263039245824	0.18741674351880316	0.0879188441438672	0.0006148170919151552	0.0009222256378727329	0	0	0.11035966799877037
alexa.2014-09-01.top.10000-https	9971	0	0.0651890482398957	0.1862400962792097	0.13880252732925483	0.04673553304583292	0.00020058168689198675	0.0003008725303379801	0	0	0.7485708554808946
alexa.2014-09-01.top.dk.10000-http-www	2577	0	0.5731470702367093	0.323244082266201	0.23903764066744276	0.08149010477299184	0.002328288707799767	0.00038804811796662784	0	0	0.10360884749708964
alexa.2014-09-01.top.dk.10000-https	2637	0	0.04323094425483504	0.08532423208191127	0.06029579067121729	0.02464922260144103	0.0003792188092529389	0	0	0	0.8714448236632537
alexa.2014-09-01.top.se.10000-http-www	3281	0	0.6193233770192015	0.26302956415726914	0.18744285278878392	0.07131971959768363	0.0027430661383724473	0.0012191405059433099	0	0	0.11764705882352941
alexa.2014-09-01.top.se.10000-https	3362	0	0.04640095181439619	0.08387864366448543	0.05859607376561571	0.024985127900059488	0	0.000297441998810232	0	0	0.8697204045211184
com.2014-08-29.random.10000-http-www	9965	0	0.5863522328148519	0.197491219267436	0.10888108379327646	0.08780732563973909	0.0007024586051179127	0.00010035122930255896	0	0	0.216156547917712
com.2014-08-29.random.10000-https	10000	0	0.0026	0.0024	0.0014	0.001	0	0	0	0	0.995
dk.2014-07-23.random.10000-http-www	9967	0	0.5370723387177686	0.20317046252633691	0.14076452292565467	0.06090097321159828	0.0014046352964783787	0.00010033109260559848	0	0	0.2597571987558944
dk.2014-07-23.random.10000-https	10000	0	0.0013	0.001	0.0004	0.0006	0	0	0	0	0.9977
net.2014-08-29.random.10000-http-www	9971	0	0.5520008023267475	0.1879450406177916	0.10390131381004915	0.08324140006017451	0.0006017450606759602	0.00020058168689198675	0	0	0.2600541570554608
net.2014-08-29.random.10000-https	10000	0	0.0019	0.0007	0.0004	0.0003	0	0	0	0	0.9974
reach50.2014w35.se-http-www	46	0	0.6521739130434783	0.2608695652173913	0.1956521739130435	0.06521739130434782	0	0	0	0	0.08695652173913043
se.2014-07-10.random.100000-http	99497	0	0.5268902579977286	0.2128807903755892	0.15151210589263997	0.06002191020834799	0.0011357126345517955	0.00021106164004944873	0	0	0.2602289516266822
se.2014-07-10.random.100000-http-www	99428	0	0.5883252202598865	0.18872953292835015	0.1295510319024822	0.057790562014724225	0.0011767309007523032	0.00021120811039143902	0	0	0.22294524681176328
se.healthstatus.2013.counties-http-www	21	0	0.8571428571428571	0.14285714285714285	0.09523809523809523	0.047619047619047616	0	0	0	0	0
se.healthstatus.2013.domain-registrars-http-www	146	0	0.541095890410959	0.3767123287671233	0.2534246575342466	0.1232876712328767	0	0	0	0	0.0821917808219178
se.healthstatus.2013.financial-services-http-www	79	0	0.45569620253164556	0.45569620253164556	0.27848101265822783	0.1518987341772152	0.02531645569620253	0	0	0	0.08860759493670886
se.healthstatus.2013.gocs-http-www	60	0	0.7166666666666667	0.23333333333333334	0.13333333333333333	0.1	0	0	0	0	0.05
se.healthstatus.2013.higher-education-http-www	48	0	0.7708333333333334	0.20833333333333334	0.14583333333333334	0.0625	0	0	0	0	0.020833333333333332
se.healthstatus.2013.isps-http-www	20	0	0.6	0.35	0.15	0.2	0	0	0	0	0.05
se.healthstatus.2013.media-http-www	32	0	0.5625	0.3125	0.125	0.15625	0	0.03125	0	0	0.125
se.healthstatus.2013.municipalities-http-www	288	0	0.8506944444444444	0.09027777777777778	0.034722222222222224	0.05555555555555555	0	0	0	0	0.059027777777777776
se.healthstatus.2013.public-authorities-http-www	214	0	0.6962616822429907	0.2523364485981308	0.1261682242990654	0.12149532710280374	0.004672897196261682	0	0	0	0.0514018691588785
